Office,Origin,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Latvia ,Resident,,,,,,,,,,,,,73,155,179,210,196,162,195,91,98,117,150,91,108,112,114,139,206,240,178,173
Latvia ,Non-Resident,,,,,,,,,,,,,70,163,87,90,273,40,90,91,81,63,64,24,43,57,37,8,9,3,7,10
Lebanon ,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon ,Non-Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho ,Resident,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,
Lesotho ,Non-Resident,,,,,,,,,,14,,,,,,2,,,,,,,,,,,,,,,,
Liberia ,Resident,,,,,,,,,,,,6,,14,,,,,,,,,,,,,,,,,,
Liberia ,Non-Resident,,,,,,,,,,,,11,,21,,,,,,,,,,,,,,,,,,
Libya ,Resident,,,,,,,,,,3,10,25,,15,10,6,12,,,,,,,,,,,,,,,
Libya ,Non-Resident,,,,,,,,,,24,47,22,,21,21,37,23,,,,,,,,,,,,,,,
Lithuania ,Resident,,,,,,,,,,,,29,134,413,112,106,100,125,134,86,66,68,85,64,70,68,65,62,87,91,108,93
Lithuania ,Non-Resident,,,,,,,,,,,,,117,1036,180,27,78,77,71,71,61,55,46,49,44,47,34,20,18,16,6,15
Low-income ,Resident,90,97,101,106,128,103,67,103,104,73,89,146,140,156,251,334,300,245,254,224,242,249,277,372,211,6051,6459,7116,283,8071,8313,39
Low-income ,Non-Resident,1077,949,922,924,846,514,460,523,421,365,326,275,287,284,792,879,629,688,804,691,973,1009,705,652,635,791,905,1067,1316,945,478,333
Lower middle-income ,Resident,1539,1307,1562,348,1562,1774,1548,1701,1752,1832,1815,1973,2806,13884,9861,9385,8177,8732,10140,10210,10650,12652,7305,8185,10582,11270,11637,12161,11816,12359,14476,14050
Lower middle-income ,Non-Resident,5831,4930,5991,4047,5690,6665,5900,5889,5219,6132,6414,6973,9737,10966,10729,14732,18549,20484,17972,15051,20160,21325,19034,19872,25552,34273,39561,43024,44547,42997,50312,52142
Luxembourg ,Resident,97,109,94,,58,81,80,69,68,58,41,52,,73,50,35,52,48,44,24,85,51,41,16,23,24,26,15,48,60,79,85
Luxembourg ,Non-Resident,897,708,616,,496,439,407,300,248,169,165,119,,166,74,69,77,102,68,86,91,70,42,8,18,64,26,25,23,24,21,43
Madagascar ,Resident,,,,,,,,,,,,,,,9,22,7,9,14,10,7,,4,3,16,7,4,9,14,1,9,3
Madagascar ,Non-Resident,,,,,,,,,,,,,,,20,16,23,36,30,37,48,38,25,20,22,35,40,67,63,43,34,58
Malawi ,Resident,2,7,3,1,,,,,1,1,,1,2,3,1,1,2,2,2,1,3,,,,,,,,,,,
Malawi ,Non-Resident,51,41,49,37,26,35,39,53,33,34,33,21,12,15,12,33,30,26,18,,17,313,,,,,,,,,,
Malaysia ,Resident,,,,,,8,29,71,73,84,92,106,151,198,223,141,221,179,193,218,206,271,322,376,522,522,531,670,818,1234,1231,1076
Malaysia ,Non-Resident,,,,,,1329,233,3195,1547,1803,2213,2321,2260,2684,3364,3911,5354,6272,5770,5624,6021,5663,4615,4686,4920,5764,4269,1702,4485,4503,5152,5376
Mali ,Resident,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali ,Non-Resident,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta ,Resident,7,6,3,4,,,5,5,3,2,2,6,3,8,21,11,6,22,8,11,23,26,22,,,,,10,14,8,12,9
Malta ,Non-Resident,17,17,15,16,15,20,12,17,14,13,17,21,22,16,21,13,18,24,26,72,93,107,180,,471,,805,29,34,21,7,6
Mauritius ,Resident,,2,,,,4,,,3,,1,2,,2,5,3,3,3,3,,,,,,,,,,2,,,
Mauritius ,Non-Resident,10,19,8,,,5,21,5,14,11,3,8,12,4,12,4,19,12,12,,,,,,,,,,22,,,
Mexico ,Resident,704,765,550,730,688,590,629,742,652,757,661,564,565,553,498,432,384,418,451,455,431,534,526,468,565,584,574,629,685,822,951,1065
Mexico ,Non-Resident,4768,5232,4763,3861,3771,3091,3071,3509,3748,3817,4400,4707,7130,7659,9446,4802,6370,3544,3254,11655,12630,13031,12536,11739,12633,13851,14931,15970,15896,13459,13625,12990
Monaco ,Resident,14,20,9,19,11,15,10,19,16,9,21,12,9,10,21,13,16,20,4,15,6,6,8,5,7,2,6,11,7,3,6,6
Monaco ,Non-Resident,54,56,37,46,51,54,40,55,67,50,56,42,13,11,14,17,23,13,15,14,7,14,4,3,2,5,7,5,3,7,5,3
Mongolia ,Resident,,,,12,34,,,,,,,28,26,55,128,130,114,186,148,,,106,121,167,143,100,103,,,76,110,
Mongolia ,Non-Resident,,,,32,11,,,,,,,1,2,6,21,52,23,3,32,,,76,105,86,86,87,110,,,67,69,
Montenegro ,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,23,20
Montenegro ,Non-Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914,,136,83
Morocco ,Resident,29,36,47,16,28,35,29,72,83,60,61,55,,42,107,89,90,,97,,104,,,,104,140,178,150,177,135,152,169
Morocco ,Non-Resident,315,299,284,300,294,255,225,234,238,204,268,301,,256,253,292,237,,401,,,,,,457,520,732,782,834,856,882,880
Mozambique ,Resident,,,,,,,,,,,,,,,,,,,,2,,,,,,,,18,,,,
Mozambique ,Non-Resident,,,,,,,,,,,,,,,,,,,,18,6,1,9,15,5,14,21,22,,,,
Namibia ,Resident,,,,,,,,,,,5,3,,13,,,,,,,,,,,,,,,,,,
Namibia ,Non-Resident,,,,,,,,,,,158,130,,120,,,,,,,,,,,,,,,,,,
Nepal ,Resident,2,,,,,,,,,,,,1,6,4,3,,,,,,,,,,,,,,,,
Nepal ,Non-Resident,,,3,,,1,,,,,,,2,3,1,5,,,,,,,,,,,,,,,,
Netherlands ,Resident,1826,1897,1873,1889,1840,1938,1866,1970,2158,2205,2147,1605,1753,1733,1748,2123,2348,2391,2451,2545,2465,2110,2122,2288,2187,2217,2168,2079,2421,2575,2527,2585
Netherlands ,Non-Resident,5532,4228,3212,2611,2139,1658,1464,1201,1068,993,764,595,555,560,501,569,633,637,549,506,529,543,481,573,556,633,548,367,311,279,240,310
New Zealand ,Resident,1148,1033,986,1110,1001,1008,957,912,803,807,802,983,1031,1236,1254,1284,1275,1572,1181,1420,1463,1768,1839,1845,1631,1893,2153,1892,1256,1555,1585,1501
New Zealand ,Non-Resident,2290,2424,2547,2683,3011,2967,3128,3368,3622,3660,3869,3550,3390,1866,2517,3435,6192,8259,4519,6541,5585,5507,5109,5028,4900,5112,5212,5952,4468,4803,5051,4708
Nicaragua ,Resident,,,,,,2,,,,,,,3,2,,,,3,12,9,14,,,,,,,,,,,
Nicaragua ,Non-Resident,,,,64,49,33,39,,,,,,39,34,,35,,,,136,129,,,,,,,,,,,
Nigeria ,Resident,,,,,,10,,,,,12,,,,,,,,,,,,,,,,,,,,,
Nigeria ,Non-Resident,,,,,,431,,,,,246,,,,,,,,,,,,,,,,,,,,,
North America ,Resident,63746,64568,65316,61408,63867,65765,67356,70842,77964,85401,93192,90137,95232,103578,109713,126393,109475,122558,138542,153312,168982,181476,188204,192870,194767,213050,227306,246345,236649,229979,246527,252504
North America ,Non-Resident,64930,67276,70192,68002,74152,77044,81317,90120,97513,108397,104895,105257,113872,107548,109392,128341,130041,126520,132409,149701,166535,184711,185982,186799,200377,217571,240698,249940,261761,263604,279148,286189
Norway ,Resident,716,714,693,825,961,923,903,884,904,1015,899,924,941,1031,1074,1128,1291,1256,1213,1335,1311,1189,1178,1079,1142,1143,1119,1225,1150,1246,1117,1122
Norway ,Non-Resident,3247,3785,3733,4068,4332,3694,3519,4616,4933,4324,4745,4213,4120,3886,4072,4280,4336,4959,5006,5255,5389,5242,5109,4782,4348,4843,4957,5431,4280,2358,696,654
Oceania ,Resident,7732,7376,7589,8040,8171,1008,957,912,803,807,802,983,1031,1236,1254,3068,3072,3332,3043,3278,3391,3955,4203,4263,4190,4448,4990,4610,4078,4049,3994,3884
Oceania ,Non-Resident,11657,12245,12119,12216,13235,2994,3153,3374,3624,3662,3869,3552,3390,1866,2517,15714,19416,23657,20582,24503,25658,26055,25290,24211,25176,26414,28378,30085,28038,25990,27529,27851
Pakistan ,Resident,37,,,,,,,,,,23,22,17,19,31,21,16,27,45,44,46,58,55,57,73,143,91,109,170,,114,92
Pakistan ,Non-Resident,369,,,,,,,,,,524,502,605,617,574,678,799,1049,1275,1089,1149,1168,1057,1070,1008,1141,1647,1449,1375,,980,861
Panama ,Resident,15,8,7,16,15,14,11,3,9,6,15,19,18,20,11,16,31,,,,7,,,,,,,,,,,21
Panama ,Non-Resident,90,90,97,134,98,78,83,73,79,44,53,68,66,80,86,62,142,,,,153,,,,,,,,371,370,468,420
Papua New Guinea ,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Papua New Guinea ,Non-Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,
Paraguay ,Resident,,,,5,10,7,,,,6,16,,20,30,,,,,,,11,12,11,12,18,24,21,37,13,15,18,
Paraguay ,Non-Resident,,,,50,32,35,,,,34,36,,44,71,,,,,,,211,253,171,173,187,241,364,295,265,246,347,
Peru ,Resident,82,50,56,77,,41,48,43,53,,49,31,21,34,29,,52,48,,48,40,36,29,32,38,27,39,28,31,37,39,39
Peru ,Non-Resident,280,375,294,266,,211,208,194,194,,219,216,262,254,369,,565,756,,944,1038,974,840,892,785,993,1232,1331,1504,657,261,1129
Philippines ,Resident,119,91,134,63,102,91,75,76,86,71,147,147,133,178,181,169,163,125,163,144,154,135,149,141,158,210,223,225,216,172,170,186
Philippines ,Non-Resident,1454,1514,1514,1613,1194,1489,1379,1568,1617,1772,1822,1774,1687,1860,1965,2207,2634,3440,3280,3217,3482,2470,705,1732,2538,2141,3034,3248,3095,2825,3223,3010
Poland ,Resident,6198,4370,4482,4741,5090,5124,5486,5682,6280,5294,4106,3389,2891,2659,2676,2595,2411,2399,2407,2285,2404,2202,2313,2268,2381,2028,2157,2392,2488,2899,3203,3879
Poland ,Non-Resident,1644,1188,990,783,798,770,713,769,763,843,1315,1086,1354,1013,1327,1265,1297,3950,4128,4671,4899,4328,4292,3973,5359,4555,655,361,290,241,227,244
Portugal ,Resident,92,90,92,91,96,85,77,61,54,86,101,102,69,88,103,81,86,71,96,81,81,107,130,125,123,158,184,250,381,571,499,571
Portugal ,Non-Resident,1731,1843,1734,1760,1756,1906,2191,2258,2410,3311,3541,3453,1138,180,88,120,76,101,61,114,65,56,49,40,64,47,36,31,24,46,46,75
Republic of Korea ,Resident,1241,1319,1556,1599,1997,2702,3640,4871,5696,7020,9082,13253,15951,21449,28554,59228,68405,67359,50596,55970,72831,73714,76570,90313,105250,122188,125476,128701,127114,127316,131805,138034
Republic of Korea ,Non-Resident,3829,3984,4368,4795,6636,7883,9115,12186,14355,16295,16738,14880,15122,15044,17158,19271,21921,25325,24637,24672,29179,30898,29566,28338,34865,38733,40713,43768,43518,36207,38296,40890
Republic of Moldova ,Resident,,,,,,,,,,,,,,67,237,270,289,295,257,256,240,437,239,293,297,377,303,333,273,134,139,97
Republic of Moldova ,Non-Resident,,,,,,,,,,,,,,36,296,39,135,57,23,15,10,17,30,3,9,11,9,14,22,5,11,11
Romania ,Resident,2569,2481,2724,3108,3446,4201,4394,4821,5615,5868,2752,2015,1457,1414,1633,1811,1831,1708,1299,1061,1003,1128,1478,881,937,916,814,827,995,1054,1382,1424
Romania ,Non-Resident,726,681,638,487,457,379,225,291,181,191,304,361,420,628,500,421,636,722,894,330,287,277,363,293,200,68,62,59,36,37,36,39
Russian Federation ,Resident,,,,,,,,,,,,906,39494,28503,21250,17551,18014,15106,16454,19900,23377,24777,23712,24969,22985,23644,27884,27505,27712,25598,28722,26495
Russian Federation ,Non-Resident,,,,,,,,,,,,297,11850,3974,4495,6893,7980,8123,8299,7944,8960,9313,9596,9901,7205,8609,9807,11934,14137,12966,13778,14919
Rwanda ,Resident,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Rwanda ,Non-Resident,3,7,2,3,6,1,1,2,5,1,4,1,2,,3,,,,,4,,,,,,,,,,,,
Saint Lucia ,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia ,Non-Resident,14,10,,5,1,,,,,,2,,1,,,4,5,,,,,7,,,,,,,,,,
Saint Vincent and the Grenadines ,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines ,Non-Resident,,,,,,,,,,,,,,,,,8,,,,2,,,,,,,,,,,
Samoa ,Resident,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa ,Non-Resident,2,,,,,4,,,,,,2,,,,2,3,,,,,,,7,2,,,11,,,,
San Marino ,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino ,Non-Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia ,Resident,,,,,,,,,,12,16,27,21,21,33,28,27,57,45,72,76,46,61,56,81,119,119,128,,,288,347
Saudi Arabia ,Non-Resident,,,,,,,,,,58,439,492,605,729,687,718,810,1001,1286,1144,797,683,552,487,395,374,419,642,,,643,643
Serbia ,Resident,,,,,,,,,,,,,,,,,,,,,,,,,473,372,432,395,386,319,290,180
Serbia ,Non-Resident,,,,,,,,,,,,,,,,,,,,,,,,,694,609,273,121,237,40,39,49
Serbia and Montenegro (formerly Yugoslavia) ,Resident,1384,1422,1428,1445,1369,1245,1515,1584,1449,1585,1391,1042,,572,587,592,479,372,415,274,324,362,359,381,,,,,,,,
Serbia and Montenegro (formerly Yugoslavia) ,Non-Resident,1974,1734,1556,1087,888,827,772,867,957,924,1090,968,,266,201,230,234,141,203,449,524,1112,1282,658,,,,,,,,
Seychelles ,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles ,Non-Resident,3,7,,3,1,2,,,5,,,,,,,1,6,,,,,,,,,,,,,,,
Sierra Leone ,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone ,Non-Resident,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
Singapore ,Resident,2,4,,5,4,4,,,,,,,,,,145,224,288,311,374,516,523,624,626,641,569,626,696,793,750,895,1056
Singapore ,Non-Resident,631,603,,852,927,1003,,,,,,,,,,2412,12357,6048,6367,6679,7720,8133,7575,7248,7944,8036,8537,9255,8899,7986,8878,8738
Slovakia ,Resident,,,,,,,,,,,,,,282,248,269,195,224,213,213,236,246,259,210,215,155,193,239,167,176,234,224
Slovakia ,Non-Resident,,,,,,,,,,,,,,681,620,1400,1498,1578,1612,1683,1804,1696,1599,1437,238,95,90,106,75,63,48,33
Slovenia ,Resident,,,,,,,,,,,,21,188,277,286,314,288,266,288,261,307,301,300,310,342,344,287,331,301,373,442,
Slovenia ,Non-Resident,,,,,,,,,,,,1,409,784,404,116,201,238,127,138,124,107,101,60,42,29,12,15,6,12,11,
Solomon Islands ,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands ,Non-Resident,,,,4,12,4,8,6,2,2,,,,,,,,,,,,,,,,,,,,,,
Somalia ,Resident,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia ,Non-Resident,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa ,Resident,3092,3340,3017,4240,3874,4051,4730,4922,4829,5134,1093,1023,888,904,935,883,757,355,200,138,895,966,983,922,956,1003,866,915,860,822,821,656
South Africa ,Non-Resident,5024,5694,6585,5479,6275,5849,5046,4844,4905,4842,4943,4654,4423,4282,4968,5482,6115,6917,7190,3002,2400,5427,5617,5303,5833,6001,6739,7402,7081,5913,5562,6589
Soviet Union ,Resident,164852,146228,156972,149447,145910,165625,169450,178047,172057,145266,113362,20969,,,,,,,,,,,,,,,,,,,,
Soviet Union ,Non-Resident,3737,3272,3986,2523,2410,476,1694,1764,1813,2008,2545,2251,,,,,,,,,,,,,,,,,,,,
Spain ,Resident,1876,1718,1646,1498,1784,2149,1649,1720,1816,2087,2218,2156,2076,2165,2136,2047,2274,2237,2271,2439,2710,2528,2763,2813,2871,3040,3111,3267,3632,3596,3566,3430
Spain ,Non-Resident,9001,8509,8555,8352,8916,9149,8581,2590,2209,2318,1079,746,561,563,537,553,524,496,476,506,484,467,371,367,313,313,316,265,252,207,213,196
Sri Lanka ,Resident,11,6,12,16,16,28,26,41,26,28,23,33,36,49,36,76,50,81,54,119,71,120,123,95,120,149,153,151,201,202,225,
Sri Lanka ,Non-Resident,67,102,76,85,78,80,103,90,92,94,83,92,91,77,57,113,180,42,158,248,250,236,202,189,195,211,270,279,264,200,235,
Sudan ,Resident,,,,7,,,,,,,,,,,,,,,,2,6,1,2,6,4,6,3,3,,,,
Sudan ,Non-Resident,,,,67,,,,,,,,,26,,,,,,,4,16,13,20,11,17,16,13,13,,,,
Swaziland ,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland ,Non-Resident,,,,,35,30,,,,27,,,47,,,,,,,,,,,,,,,,,,,
Sweden ,Resident,4106,3914,4087,4283,3969,3840,3685,3521,3260,3147,3108,3154,3291,3760,3953,3941,4111,4130,3972,4142,4224,3926,3358,3025,2768,2522,2446,2527,2549,2186,2196,2004
Sweden ,Non-Resident,5086,3968,3442,2958,2705,2322,1939,1695,1462,1270,1073,702,657,614,636,924,857,940,753,853,844,574,597,703,462,438,413,398,306,463,353,337
Switzerland ,Resident,4049,3712,3845,3817,3393,3191,3199,3298,3236,3247,2987,2949,3068,2999,3033,2890,2504,2408,2025,1916,2083,1859,1827,1831,1742,1643,1740,1692,1594,1684,1622,1597
Switzerland ,Non-Resident,5613,4430,3637,3038,2714,2281,1954,1764,1556,1371,1081,893,903,874,892,830,718,620,564,535,468,594,466,396,434,455,362,342,439,394,533,446
Syrian Arab Republic ,Resident,6,7,4,,,,,,,,,,53,82,67,129,106,116,54,87,247,189,183,213,205,105,124,,,,,
Syrian Arab Republic ,Non-Resident,98,76,81,,,,,,,,,,33,40,42,68,59,46,9,,48,39,47,36,40,34,133,,,,,
T F Y R of Macedonia ,Resident,,,,,,,,,,,,,,78,58,100,52,66,84,64,71,66,42,46,37,53,55,105,34,39,27,37
T F Y R of Macedonia ,Non-Resident,,,,,,,,,,,,,,50,178,76,13,118,60,2,53,59,209,418,415,15,4,13,406,11,1,3
Tajikistan ,Resident,,,,,,,,,,,,,,5,24,35,30,23,37,38,45,83,39,30,32,30,26,,,11,7,4
Tajikistan ,Non-Resident,,,,,,,,,,,,,,,169,30,141,51,9,5,7,1,,1,2,6,,,,1,3,1
Thailand ,Resident,13,26,40,48,49,55,60,68,78,43,73,80,67,110,150,145,203,246,479,738,561,534,615,802,819,891,1040,945,902,1025,1214,927
Thailand ,Non-Resident,202,306,331,512,619,652,634,814,1041,1381,1867,1907,1906,2353,2816,3387,4355,5148,4592,4438,4488,4798,3874,4329,4554,5449,5221,5873,5839,4832,723,2997
Trinidad and Tobago ,Resident,7,,10,,,,,,,,,,13,29,13,24,9,17,,,,,2,,3,1,,2,1,,,
Trinidad and Tobago ,Non-Resident,123,,83,,,,,,,,,,54,62,70,63,110,154,107,120,154,239,221,231,205,205,278,317,280,,,
Tunisia ,Resident,27,28,,19,12,14,28,26,20,26,27,26,22,42,39,31,45,41,38,67,47,22,45,35,46,56,,,,,,
Tunisia ,Non-Resident,214,183,,197,201,202,139,120,118,118,134,104,98,100,106,115,128,174,200,190,210,156,58,120,223,282,,,,,,
Turkey ,Resident,134,157,126,,153,132,174,138,153,162,138,148,189,169,151,170,189,203,207,276,277,337,414,489,682,928,1072,1810,2221,2555,3180,3885
Turkey ,Non-Resident,527,368,385,,447,461,552,760,747,886,1090,1057,1063,1057,1216,1520,735,1327,2276,2744,3156,2875,1424,348,235,218,160,211,176,177,177,228
Turkmenistan ,Resident,,,,,,,,,,,,,,,,,66,52,41,44,,,,,,,,,,,,
Turkmenistan ,Non-Resident,,,,,,,,,,,,,,,,,170,50,16,5,,,,,,,,,,,,
Uganda ,Resident,,,,,,,,,,,,,,,,,,,,,,,,5,12,3,11,6,,,,
Uganda ,Non-Resident,28,55,17,16,28,26,,21,21,14,13,4,11,,,,,,,,,,,,1,,,1,,,,
Ukraine ,Resident,,,,,,,,,,,,,309,8687,5355,4804,3636,4688,5319,5401,5620,7208,1601,1635,4090,3538,3474,3440,2825,2434,2556,2649
Ukraine ,Non-Resident,,,,,,,,,,,,,,1909,555,1156,1257,1568,1631,1621,1604,1610,1153,1438,1689,2054,2416,2723,2872,2380,2756,2604
United Kingdom ,Resident,19612,20808,20530,19893,19093,19672,20040,19945,20536,19732,19310,19230,18848,18727,18384,18630,18184,17938,19530,21333,22050,21423,20624,20426,19178,17833,17484,17375,16523,15985,15490,15343
United Kingdom ,Non-Resident,22000,18406,16563,14798,13735,12293,11063,10419,9935,9637,8928,8357,7839,7922,8081,8891,9821,10171,10083,10399,10697,10658,10907,11198,10776,10155,8261,7624,6856,6480,6439,6916
United Republic of Tanzania ,Resident,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania ,Non-Resident,88,,30,57,,30,,,37,23,,,,,,,,,,,,,,,,,,,,,,
United States of America ,Resident,62098,62404,63316,59391,61841,63673,65195,68315,75192,82370,90643,87955,92425,99955,107233,123962,106892,119214,134733,149251,164795,177513,184245,188941,189536,207867,221784,241347,231588,224912,241977,247750
United States of America ,Non-Resident,42231,44009,46309,44312,49443,51562,55721,63522,68644,76337,80520,84160,90922,84241,95522,104180,105054,101282,102246,116512,131100,148958,150200,153500,167407,182866,204182,214807,224733,231194,248249,255832
Upper middle-income ,Resident,15592,15932,15421,18230,18225,17043,17526,19596,15708,21430,16329,17863,57274,53812,43428,38607,41111,38612,40555,46353,60597,67619,75654,96092,103595,135838,170675,195121,237676,271690,339045,456899
Upper middle-income ,Non-Resident,28228,29674,27312,23866,24262,25014,22828,26769,20030,26920,30540,30776,44226,44924,49304,48700,60756,73026,92500,100151,97451,103127,104374,112602,129440,151464,166756,170399,180741,154493,167859,167487
Uruguay ,Resident,70,71,49,40,43,63,39,34,28,23,,34,39,29,18,35,25,32,27,27,44,52,30,45,37,24,31,35,33,30,23,20
Uruguay ,Non-Resident,213,227,157,174,147,105,124,101,144,111,,137,140,147,151,221,182,370,469,525,572,543,466,504,514,589,725,739,706,750,761,667
Uzbekistan ,Resident,,,,,,,,,,,,,,2136,1061,1039,914,815,721,767,755,803,715,931,273,264,323,324,262,238,370,282
Uzbekistan ,Non-Resident,,,,,,,,,,,,,,295,64,19,53,367,,361,213,443,203,171,205,180,186,198,186,174,262,274
Venezuela (Bolivarian Republic of) ,Resident,236,176,174,625,875,227,282,312,,183,262,233,202,186,224,,182,201,,,56,,,,,,,,,,,33
Venezuela (Bolivarian Republic of) ,Non-Resident,1831,1980,1893,1482,1359,1303,1292,1369,,1184,1090,1128,1338,1489,1505,,1822,2323,,,2292,,,,,,,,,,,1565
Viet Nam ,Resident,,,,,52,,7,,20,46,58,37,34,32,22,23,37,30,40,63,69,85,134,149,206,362,196,339,320,391,306,300
Viet Nam ,Non-Resident,,,,,,3,2,,2,16,17,25,49,193,270,659,929,1234,1093,1123,1263,1283,1202,1128,1390,1831,2206,3246,3163,2752,3276,3260
World ,Resident,,,,,,651074,675026,712471,714862,705360,687680,600999,635746,649150,636991,705400,707600,737000,756000,791200,874600,895700,888500,924100,965900,1038300,1073300,1119300,1151500,1139600,1229100,1356700
World ,Non-Resident,,,,,,270641,272689,282501,294802,309022,309821,287201,307884,294184,305822,344700,380400,422900,457200,476200,501500,562100,552900,560600,603400,663700,719400,746600,763700,706200,755200,783200
Yemen ,Resident,,,,,,,,,,,,,,,,,,,7,9,7,6,9,16,10,20,14,11,,,20,7
Yemen ,Non-Resident,,,,,,,,,,,,,,,,,,,16,30,22,18,19,13,27,23,34,24,,,55,37
Zaire ,Resident,3,8,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaire ,Non-Resident,100,74,93,66,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia ,Resident,2,1,1,1,,,,,7,3,7,1,7,4,,4,6,,,5,,6,,,,,,,,,,
Zambia ,Non-Resident,113,107,91,91,79,105,108,99,74,50,50,47,64,60,,39,36,,,34,,25,,,,,,,,,,
Zimbabwe ,Resident,39,35,41,40,34,38,47,41,38,39,44,60,42,44,,55,28,,,,,,,,,,,,,,,
Zimbabwe ,Non-Resident,281,274,230,237,191,205,206,200,144,138,159,128,161,136,,125,122,,,,,,,,,,,,,,,
